RNCID,CellID,Latitude,Longitude
6182,41235,31.29365558,121.20186171
6188,41154,31.2795884,121.2128117
6188,20897,31.28744109,121.20057052
5198,16057,31.29585649,121.21668832
6182,13666,31.28744409,121.20056232
6188,41118,31.2772436,121.2160113
5198,38197,31.29726697,121.19384125
5198,49472,31.26751002,121.21300026
5198,1187,31.29043579,121.20973206
5198,32925,31.26771606,121.20524448
6182,41139,31.28973841,121.21868325
5198,42507,31.2851868,121.21106471
6188,27393,31.29329501,121.21280385
5198,25311,31.28051758,121.21573639
5198,64581,31.27607084,121.24191001
5198,16519,31.30651249,121.21368945
5198,50808,31.2792274,121.2166826
5198,56877,31.27669081,121.21908046
6168,40025,31.27224039,121.2351568
6188,41093,31.28688322,121.20201031
5198,16058,31.28385867,121.21619297
5198,23511,31.29201508,121.21985626
6188,25763,31.2785893,121.214037
5198,38198,31.28877688,121.20230661
6182,13395,31.29529899,121.19515837
5198,64092,31.30467309,121.22561565
6182,44772,31.29280401,121.21816895
6188,41123,31.28806631,121.21302405
5198,56688,31.29296481,121.21588675
6182,41510,31.31254318,121.17839917
6188,21331,31.2413928,121.37964478
6182,41525,31.28992471,121.21640185
5198,20608,31.25959664,121.21662753
5198,41518,31.28064202,121.1872472
6182,41594,31.29211427,121.23482711
5198,17739,31.28869411,121.24592115
6188,26049,31.28843711,121.21106666
6181,41286,31.26271819,121.23972435
5198,16237,31.28400977,121.21862297
5198,57857,31.27361682,121.21897006
6188,41150,31.2875966,121.20032057
6182,41581,31.30844852,121.19448976
5198,43857,31.28617142,121.20361681
5198,49988,31.29436381,121.21795435
6182,41503,31.29287341,121.21605655
5198,57368,31.29017689,121.19642847
6188,27378,31.28215882,121.20931041
6182,44770,31.28938331,121.21878495
6188,41067,31.2845846,121.2178119
6188,41155,31.27678331,121.21511406
6188,41100,31.29087581,121.21872535
5198,43858,31.27948392,121.20691211
6188,41119,31.27554968,121.22217533
6182,13698,31.28726157,121.19683072
5198,42517,31.28848848,121.20801351
6188,27394,31.28320002,121.20728971
6182,41607,31.29539271,121.21422685
6188,41152,31.28771568,121.21051001
5198,50809,31.2845,121.2181214
6188,41017,31.28196922,121.20677021
6188,41094,31.2788375,121.2140329
5198,16059,31.28695732,121.20530511
6188,22673,31.28921241,121.21260365
5198,35663,31.28303337,121.23763275
6188,41116,31.28042616,121.22149976
5198,42518,31.28420422,121.20728081
5198,36811,31.28043175,121.20645142
5198,56689,31.2871813,121.20044647
5198,51498,31.28785079,121.19356357
5198,43518,31.31630404,121.20528471
6188,41146,31.28784128,121.20517581
5198,32914,31.24750051,121.17956009
6182,41514,31.31144224,121.21752093
6182,40789,31.29706901,121.18912411
5198,20609,31.2786159,121.2153504
6182,44753,31.30949365,121.20194021
5198,17067,31.30423359,121.22845525
6188,26050,31.28841321,121.21106286
6151,14542,31.27836664,121.29150267
5198,44572,31.25235716,121.21776509
6188,25761,31.28978861,121.21864225
6188,41121,31.27656521,121.21535676
6182,44774,31.29343343,121.22782705
6188,21329,31.28444102,121.20624131
5198,50807,31.28802291,121.21838815
5198,46199,31.32064967,121.22967513
6182,44754,31.29377198,121.20843341
6188,25089,31.2786284,121.2139062
5198,49989,31.28727319,121.20650551
6168,39996,31.2846285,121.24074825
5198,16548,31.29648371,121.173251
5198,1188,31.29043579,121.20973206
6188,27379,31.28744299,121.20059432
6182,1941,31.29327558,121.20652321
6182,44771,31.28917931,121.21847225
5198,42508,31.2794001,121.2153304
5198,64742,31.30332459,121.21758485
5198,39791,31.26992607,121.24485779
5198,16239,31.27198512,121.21374546
5198,56687,31.29530108,121.20880881
6182,41233,31.29331391,121.21279675
6188,41148,31.29076841,121.21383735
6182,41520,31.30267619,121.21753515
5198,47653,31.25289405,121.24832102
6188,25105,31.2786284,121.2139442
6182,41137,31.29256471,121.21841475
6188,41065,31.28975153,121.22173406
6188,27395,31.28562812,121.20448531
6188,25859,31.27555378,121.22903352
6182,41234,31.29354378,121.20559491
6188,41076,31.2772862,121.2163259
5198,17029,31.29581721,121.21736815
5198,23603,31.29802322,121.24185181
6182,44757,31.29358048,121.20944991
5198,63811,31.2770096,121.24311725
6182,13393,31.29634769,121.19631747
5198,1186,31.28974152,121.20973206
5198,42519,31.28396682,121.20692541
5198,57367,31.29489229,121.19257427
6188,25187,31.2771077,121.2167374
5198,32924,31.28008719,121.18344474
5198,49663,31.28408813,121.21704102
6188,25633,31.2786224,121.214022
6188,41147,31.29209731,121.21361765
6188,41092,31.2827858,121.213425
6182,44758,31.29688989,121.19446957
6188,40957,31.28138762,121.19376241
6188,26051,31.28948091,121.21376815
6188,41122,31.29128081,121.21199976
6182,13394,31.29548479,121.19792447
6182,44775,31.29327381,121.21868055
6188,20865,31.28313592,121.20724681
5198,1177,31.29043579,121.20973206
6188,41075,31.286372,121.2188468
5198,16367,31.26442938,121.16717516
5198,42749,31.28912121,121.21871685
6182,44755,31.29585689,121.19463127
6188,25090,31.2786135,121.2139911
6188,27361,31.28535792,121.20866881
6183,40896,31.31808822,121.21559832
5198,49471,31.27262596,121.21043708
6188,41127,31.27639497,121.22888732
6182,41567,31.30050339,121.21753195
5198,42509,31.2806976,121.21213161
6188,27314,31.2865659,121.2137212
5198,1178,31.28921356,121.20720807
6188,41149,31.28238832,121.20983281
6188,41091,31.29352998,121.20692161
6188,41102,31.2828292,121.2173581
6188,40967,31.28227982,121.20709681
6151,14547,31.30375802,121.24132505
6188,41055,31.28967191,121.21222626
6188,41124,31.28423162,121.20794451
6188,27377,31.29263501,121.21829475
5198,25312,31.28376389,121.21294403
5198,48418,31.30479179,121.21773995
